Inputs,Answers
how are you?,"I am fine, how about you?"
how are you?,I am good.How have you been?
how are you?,Pretty good. How are things going?
how are you?,I am well.Are you well?
how's your day?,"I am fine, how about you?"
how's your day?,I am good.How have you been?
how's your day?,Pretty good. How are things going?
how's your day?,I am well.Are you well?
how's it going?,"I am fine, how about you?"
how's it going?,I am good.How have you been?
how's it going?,Pretty good. How are things going?
how's it going?,I am well.Are you well?
Hello,"Hello, Wassup?"
Hello,"Hi, how's it going? "
Hello,"Hi, how's everything going?"
Hi,"Hi, how's everything going?"
Hi,"Hello, Wassup?"
Hi,"Hi, how's it going? "
Hey,"Hello, Wassup?"
Hey,"Hi, how's it going? "
Hey,"Hi, how's everything going?"
Great,It's good to hear that.Anything I can help?
Great,Well. Anything I can help?
Great,"Well, it's good to hear that. Anything I can help?"
Fantastic,It's good to hear that! Anything I can help?
Fantastic,"Well, it's good to hear that! Anything I can help?"
Fantastic,Great! Anything I can help?
Good,It's good to hear that! Anything I can help?
Good,Fantastic!  Anything I can help?
Good,"Well, it's good to hear that! Anything I can help?"
Fine,It's good to hear that! Anything I can help?
Fine,"Well, it's good to hear that. Anything I can help?"
Fine,Fantastic!  Anything I can help?
Not bad,It's good to hear that.What can I do for you?
Not bad,"Well, it's good to hear that. Anything I can help?"
Not bad,Fantastic!  Anything I can help?
So so,Cheer up! Tomorrow will be better
So so,Relax!!! Everything will be fine. 
Bad,Cheer up! Tomorrow will be better
Bad,Relax!!! everything will be fine. 
Morning,Good Morning!
Evening,Good Evening!
Afternoon,Good Afternoon!
Night,Good Night!
I want to have a small talk,"So, how are you today?"
I want to have a small talk,"So, how's everything going?"
I want to have a chat with you,"So, how's your day?"
I want to have a chat with you,"So, how's everything going?"
Thanks,You are welcome.
Thanks,"No worry, my friend"
Thanks,"No problem, my friend"
Thank,You are welcome.
Thank,"No worry, my friend"
Thank,"No problem, my friend"
Nice to meet you,Nice to meet you too. Do you want to chat with me or ask any questions?
Nice to meet you,Hi!!!! How's your day going?
It's good to hear that,Thanks!!
It's good to hear that,Thank you!!
